Название,Цена,Изменение за день (Rub),Изменение за год (Rub)
Газпром нефть SIBN,"582,25 ₽","−0,2 ₽",−167₽
Циан CNRU,551₽,"+18,2 ₽","−430,8 ₽"
ПИК PIKK,504₽,−12₽,"−353,4 ₽"
Novabev Group BELU,"498,5 ₽","−5,5 ₽","−5 392,5 ₽"
КуйбышевАзот - Акции привилегированные KAZTP,"493,5 ₽","+0,5 ₽",−184₽
КуйбышевАзот KAZT,"483,6 ₽","−0,4 ₽","−124,2 ₽"
Роснефть ROSN,"475,7 ₽","−5,35 ₽","−105,5 ₽"
Эн+ ENPG,"445,35 ₽","−5,45 ₽","−34,05 ₽"
Группа Астра ASTR,"410,8 ₽","−4,95 ₽","−207,15 ₽"
Банк Санкт-Петербург BSPB,"410,5 ₽","+1,2 ₽","+74,17 ₽"
Промомед PRMD,"402,5 ₽","−9,5 ₽","−10,5 ₽"
ТНС энерго Воронеж VRSB,398₽,−4₽,"−248,5 ₽"
КрМЗ ао KZIZ,"384,98 ₽","−6,99 ₽","−234,65 ₽"
КрМЗ ап KZIZP,"347,07 ₽","−5,36 ₽","−93,93 ₽"
Сбер Банк SBER,"315,79 ₽","−2,39 ₽","+6,81 ₽"
